pcode,Records,Species,Observers,Datasets
IP10,1681,377,1,3
SS99,89,16,5,11
IP9,10074,597,1,4
TN2,135,56,9,13
ME3,14,6,1,2
CM92,95,57,1,7
IG8,75,6,2,4
IP98,276,230,0,6
L69,407,188,3,5
L70,1342,581,2,9
RG42,64,20,1,5
DH97,22,8,1,2
EC50,9,8,2,4
M60,41,34,3,2
M60,176,103,10,10
PL95,71,39,2,11
RG26,3,2,1,2
SA99,19,16,4,2
SN38,17,9,1,7
B77,23,14,1,8
BD13,1,1,1,1
BH18,260,184,3,9
BN88,20,11,3,7
CH33,32,13,1,5
CR8,56,19,1,7
EC3P,3,2,1,2
EH20,112,56,2,8
EH95,48,19,3,6
GU32,38,17,2,7
HS7,15,5,0,2
M60,73,61,7,10
SM5,422,25,3,12
SO97,328,45,3,7
SW1P,9,3,1,4
SY99,904,489,48,12
YO90,53,48,7,9
AB99,76,54,2,10
DL7,31,31,1,1
E98,5,3,2,3
G9,95,35,1,5
HA2,11,11,1,4
L69,288,143,5,7
MK77,20,12,0,8
N15,6,1,1,1
N6,14,4,1,5
N81,4,2,1,3
PR0,4819,787,4,9
RG1,39,29,1,7
SA15,32,17,2,2
SE11,10,4,1,4
SO40,236,49,2,8
SY1,300,217,14,10
BH1,40,38,2,4
CF43,6,5,3,2
CH27,8,5,0,5
HP15,983,477,1,7
L75,281,141,2,6
LE1,142,59,1,13
LE87,59,30,1,8
LS6,17,17,2,3
N13,182,25,2,8
NE17,9,3,1,4
NW26,1,1,1,1
PH33,139,105,4,6
S49,177,128,3,9
S98,32,32,2,5
SA3,447,195,5,4
SA80,193,117,5,3
SN38,2,2,1,2
ST55,17,4,2,3
SY6,170,116,4,3
B2,21,21,1,2
BN88,17,9,2,5
BS4,98,88,1,1
CA1,14,12,1,5
CH27,727,160,0,4
CH32,7,6,2,6
CR9,81,14,3,5
CR9,230,14,3,5
CR9,213,19,1,9
CR9,39,9,1,5
DH99,19,10,3,7
EC2P,3,2,1,2
EC3P,3,2,1,2
FY6,725,323,2,7
G70,7,6,3,6
L70,1556,374,5,12
L75,739,256,3,5
LE11,145,33,1,8
LN5,90,23,1,8
N7,14,4,1,5
NE82,163,10,1,7
NE88,7,4,1,5
NN16,145,26,0,7
OX3,19,9,2,6
PR11,1022,418,2,6
S96,33,13,1,4
SA9,21,21,4,3
SK2,270,55,5,5
SK7,270,55,5,5
SL0,93,86,1,5
SN15,40,8,0,6
WA88,378,117,3,12
CO12,12,5,1,2
IP33,2100,549,1,6
CB10,41,14,2,11
CO12,380,220,1,3
ME6,66,50,1,12
ME99,94,86,2,9
DA12,44,33,1,4
MK10,466,248,0,9
RM20,26,18,2,6
RM9,1,1,1,1
TN11,16,12,2,9
SE1P,4,3,1,3
BN88,106,59,2,10
CH28,6,3,1,4
KY99,15,8,2,4
DE99,286,180,2,11
PA7,22,12,2,5
W10,26,5,1,4
BL11,37,25,5,3
CH88,17,9,1,4
DL98,2,2,1,2
DN33,4,2,1,3
IV1,89,49,4,9
IV26,15,4,1,2
L73,36,19,3,5
LE87,167,43,3,12
M99,50,44,6,5
N4,6,1,1,1
PL1,59,28,2,10
PR11,4819,787,4,9
SE16,5,3,1,3
W1A,5,3,1,4
IV52,1,1,1,1
L29,2145,504,4,11
L70,510,204,3,8
L71,407,188,3,5
M60,107,55,7,6
NE85,59,22,2,5
PA31,1,1,1,1
PL28,221,98,2,5
RG24,612,51,1,11
SK4,270,55,5,5
SR9,33,16,1,3
SW13,12,4,2,5
TQ14,131,31,1,9
W12,28,7,1,5
WC2R,1,1,1,1
WD4,733,158,2,6
CA99,14,12,1,5
CH99,39,25,2,4
CR9,36,6,2,3
CR9,36,6,2,3
DH99,32,9,1,3
DN55,61,35,3,4
EX3,32,19,2,6
HP27,60,44,2,7
IV11,39,9,7,3
LS9,4,2,2,3
M60,148,76,8,7
M60,50,44,6,5
NN16,172,41,0,7
PO12,22,17,2,2
TF13,386,245,5,6
TS19,39,22,1,1
B21,10,8,1,3
BL78,37,25,5,3
BN16,21,13,2,8
BS98,316,211,1,3
FK2,25,10,1,3
HU5,15,15,3,4
KY14,17,6,2,3
NE69,53,42,2,4
NE85,160,8,1,5
OX16,46,19,2,5
PL1,156,36,2,8
S49,566,262,5,15
S97,33,29,3,5
SN2,13,7,2,4
SR5,2,2,1,2
TF10,113,63,3,7
W1D,5,3,1,4
WV6,15,14,1,3
ME4,8,4,1,2
CO12,73,67,1,2
DA12,10,5,1,2
TN35,87,72,2,8
CM1,17,7,1,6
IV25,37,21,2,5
G70,9,7,0,4
HP20,222,148,1,7
L72,1132,343,2,12
EC1P,4,3,2,3
BN99,312,46,1,8
E98,5,3,2,3
HS7,15,5,0,2
RH77,20,11,1,3
WA8,49,23,3,3
BH1,2,2,2,2
CV4,230,223,1,4
E9,9,5,4,3
HU4,27,18,2,5
NE98,62,56,2,7
SA72,24,24,1,1
TR24,81,47,2,1
WA55,60,44,3,7
BN50,21,11,3,7
BN50,17,9,2,5
BN99,47,10,1,5
BN99,23,9,2,7
EC4A,1,1,1,1
EH7,499,152,4,7
EH91,443,178,19,7
G90,4,2,1,1
M99,50,44,6,5
PR2,3920,666,3,8
CR9,36,6,2,3
L71,729,255,4,4
LS98,1,1,1,1
LS99,26,19,2,7
PL11,22,12,1,4
PL9,52,18,2,10
SK22,152,130,2,13
ST55,9,4,2,4
ZE1,6,3,1,3
DN15,16,10,0,6
EH99,499,152,4,7
G79,119,12,1,2
IV53,126,100,1,3
IV54,2,1,1,2
NG18,3,2,1,1
PA3,116,60,2,6
SA72,28,28,1,1
SA72,96,63,2,1
CB1,305,108,9,10
CO12,307,198,1,3
SS99,5,4,3,4
ME8,58,47,1,6
DA7,193,7,1,3
IG5,43,12,1,5
EC50,4,3,2,3
CF47,116,88,8,5
NE37,10,7,1,6
W1A,3,1,1,2
BD98,6,5,2,6
BL8,25,24,3,4
CR9,36,6,2,3
IV40,23,11,2,6
LS1,16,12,3,4
PE8,31,20,2,7
S1,27,8,2,5
EX32,73,55,2,8
GL13,178,77,1,4
GU95,48,28,3,14
PA21,21,12,3,3
RG41,16,9,2,8
TS2,17,17,1,1
CR9,15,4,1,1
L69,739,256,3,5
L75,281,141,2,6
LE55,224,59,0,10
NE92,4,2,1,3
PA34,6,4,0,4
PA69,6,5,1,3
TQ12,124,28,1,7
BD98,20,17,3,8
CR9,108,12,2,7
FY0,750,322,3,5
GU22,316,78,9,16
HX3,4,3,1,2
LE94,148,45,2,10
M17,253,155,4,10
NW1W,230,40,3,9
S1,53,39,2,6
S10,8,8,2,3
SN99,16,16,1,2
W1A,5,3,1,4
WA7,57,36,3,4
WD99,673,115,2,6
HS8,25,11,0,5
L72,309,185,6,7
ME9,28,12,1,3
SE18,6,6,1,1
NE36,47,12,1,3
M60,41,34,3,2
N81,110,41,1,5
G90,95,35,1,5
NG80,14,10,4,5
CF11,29,25,9,5
CH99,23,9,1,6
DE1,280,145,1,7
IV40,51,45,4,7
KW17,3,3,1,1
SN38,17,6,1,5
SO53,646,70,5,12
WS12,126,16,1,6
BN16,676,82,2,9
BS36,1532,89,1,5
IV23,1,1,1,1
LE55,162,40,2,11
M60,41,34,3,2
PL28,126,77,2,5
CF91,5,5,4,3
CH70,28,23,1,3
G58,364,127,2,6
HU14,27,18,2,5
KT2,18,12,2,8
LL35,101,6,1,1
PO11,21,10,1,3
BD97,12,11,1,3
CH42,111,96,1,7
E77,304,36,1,5
IV2,917,95,3,6
NG80,435,51,3,10
SO14,155,47,1,6
WC1R,4,4,1,4
RM18,2,2,1,2
TN4,332,170,2,17
IP98,514,320,0,4
CM98,4,4,1,3
G1,33,13,3,5
BL78,84,74,2,9
S2,33,33,3,6
CR9,36,6,2,3
LL40,1,1,1,1
PO2,1,1,1,1
PR6,2013,685,4,11
RG14,72,40,1,6
SN38,4,3,2,3
DT3,162,151,1,8
IV26,9,9,2,3
L2,739,256,3,5
LS8,12,12,2,2
NP19,97,75,7,7
PA66,89,86,2,3
SE15,105,13,1,5
LE21,162,40,2,11
NE99,6,4,1,3
SN38,14,8,2,5
W1C,3,1,1,2
SS99,8,5,3,2
PA63,14,13,2,2
PA76,48,13,3,7
AB25,1517,207,10,14
LA13,42,28,2,3
SE1P,5,3,1,3
SN38,20,18,2,6
TR25,108,62,2,2
YO23,46,27,2,10
M60,73,62,7,12
TN26,97,72,2,9
NR99,65,50,5,8
WV98,2123,655,2,8
W1F,5,3,2,4
NR30,2694,664,28,14
NR23,187,102,10,10
BD2,9,3,1,4
CR9,92,21,3,8
G68,10,5,0,3
IV52,91,49,4,9
PL11,257,187,2,5
WV99,267,105,8,4
AB31,939,325,5,15
CA7,42,18,1,3
DG2,48,31,1,4
RG40,16,9,1,7
S95,402,74,4,13
SA14,12,12,3,2
SE13,157,60,3,11
W1H,3,1,1,2
PA37,664,243,7,10
PA64,7,3,3,4
RM19,135,80,4,8
WC2E,1,1,1,1
IV22,53,44,2,2
N1P,14,9,3,10
TA8,525,70,1,5
BS99,98,88,1,1
CO12,12,5,1,2
KA30,31,15,1,3
TN25,948,226,12,23
DG1,243,113,1,9
CR9,47,26,2,7
TQ8,55,13,2,8
CH25,114,109,2,6
HS4,1,1,1,1
PL28,147,95,3,5
W1C,3,1,1,2
CR9,416,59,1,9
NW1,3,1,1,1
PA22,2,2,1,2
RH11,16,7,1,4
TA9,525,70,1,5
BS22,817,187,1,4
PH32,1132,402,46,30
WC1V,1,1,1,1
IP9,3877,765,3,6
IV40,230,153,5,8
ZE1,14,6,1,3
CO5,57,42,3,4
ME9,89,57,2,10
LA13,98,46,3,6
LL30,97,69,4,6
ZE2,36,36,4,3
NE30,54,45,2,9
SY11,1458,440,22,10
FK7,76,21,2,4
PA36,4215,901,33,22
SA14,13,13,3,2
WF13,14,6,2,3
HS8,12,5,2,3
LA13,51,35,3,3
TR24,64,34,2,1
HS3,2,1,1,2
PH31,1948,600,42,33
HS6,48,42,5,5
NE13,65,22,2,8
PO16,212,107,2,8
W1J,73,31,5,8
BH20,1,1,1,1
PA68,137,137,1,1
TR21,226,114,2,3
NW10,4,4,1,1
PA30,42,31,2,5
S6,3,2,1,3
TR12,454,243,5,8
ZE1,1,1,1,1
M60,50,44,6,5
IV40,53,28,3,8
OL1,524,210,5,9
WA7,23,21,3,2
BH15,65,24,4,6
LA19,3,2,1,2
PA27,25,15,2,2
IV53,49,45,1,3
EH35,408,196,8,19
NG80,42,13,5,6
PA27,114,69,5,4
CR9,36,6,2,3
PH19,1599,588,43,39
WR7,462,318,4,7
IP9,11627,817,2,6
L24,5,2,0,2
PH49,67,56,6,5
PA65,161,32,3,9
PH37,2150,455,40,23
PA3,81,43,2,6
LL76,2036,509,28,22
IV6,27,10,1,3
ME9,21,4,1,2
DA11,2,2,1,2
PA80,43,20,2,7
BH13,39,36,11,10
PH23,2972,660,93,46
EH43,859,336,49,23
EC1V,3,2,1,2
SO31,10,6,3,5
M1,119,98,8,11
CO5,5,3,1,2
M17,96,51,4,7
PH24,10143,1588,115,57
PO20,48,13,2,6
LA8,134,63,3,4
CM0,9,7,1,3
ME3,28,7,1,4
PA34,22,16,4,7
HS7,3,1,0,2
PA31,22,16,4,7
EC1A,13,8,3,8
KW11,3246,661,54,32
DG7,141,23,2,5
PH38,17,9,2,4
CM3,448,66,1,5
SA73,12,11,1,1
EH36,1020,296,14,22
