STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
74005,744312,Ehen,Braystones,300900,506100,NY009090,125.5,74,EA-CL,01/01/1974,,10.1,FV,90,,11.5,NO,YES,YES,SP,NO,YES,NO,1974,2014,99.67,5.264,0.431,75.9,0.957,1.885,3.08,11.93,0.43,1758,1852,0.69,,0.497,0.897,6.594456,5.76202,54.649681,3.695702,1.668941,49.39163,10.1,75.1,156.7,492.4,893.6,10.23032,9.70713,66.2046,8.28426,0.011,165.8,70.709
74006,743509,Calder,Calder Hall,303500,504500,NY035010,44.8,74,EA-CL,01/01/1964,,26.4,FV,,21,15.5,NO,YES,YES,G,NO,YES,NO,1964,2014,95.92,1.88,0.04,53.12,0.336,0.736,1.129,4.123,0.41,1817,1864,0.71,,0.423,0.999,21.318963,0,78.681037,0,24.785448,37.375848,26.4,94.9,268.9,469.3,672.9,5.60519,6.02629,71.3766,16.587924,0.002,161.3,55.47
74007,742006,Esk,Cropple How,313100,497800,SD131097,70.2,74,EA-CL,01/01/1974,,6.2,VA,90,,30,NO,YES,YES,N,NO,YES,NO,1976,2014,99.71,4.533,0.076,96.6,0.444,1.33,2.47,10.8,0.3,2305,2428,0.71,,0.417,0.964,0,0,100,0,3.52905,6.698466,6.2,77.8,278.3,600.9,966.4,5.933536,1.52974,86.107568,3.95093,0,231.7,102.962
74008,740101,Duddon,Ulpha,320900,494700,SD209194,47.9,74,EA-CL,01/01/1971,,75.9,CB,60,,6.9,NO,YES,YES,SP,NO,YES,NO,1976,2014,99.72,3.194,0.03,77.8,0.27,0.775,1.629,8.096,0.26,2520,2311,0.71,,0.325,0.974,0,0,100,0,2.451117,2.363462,75.9,167.8,349.1,606.3,794.4,6.69094,0.686785,84.115508,6.992715,0,250.5,68.02
75001,750605,St Johns Beck,Thirlmere Reservoir,331300,519500,NY313219,42.1,75,EA-CL,01/01/1935,,159.5,CC,,48,12.9,NO,YES,YES,SP,NO,YES,NO,1935,2014,85.75,0.831,0.072,124,0.156,0.169,0.2,1.747,0.37,2611,2671,0.71,,0.38,0.721,0,0,100,0,18.539229,1.261094,159.5,186.6,462.9,729,943.9,13.98639,0.059694,58.070646,20.13491,0,285.3,20.924
75002,753015,Derwent,Camerton,303700,530500,NY037305,663,75,EA-CL,01/01/1960,03/02/2010,16.7,VA,400,,7.1,NO,YES,YES,SP,YES,YES,NO,1960,2009,100,26.724,1.15,561,3.379,9.861,16.81,61.8,0.49,1811,1914,0.63,,0.438,0.844,0,8.547364,82.582632,0.881661,4.829285,42.664644,16.7,77.8,216.1,551.8,943.9,10.3502,4.414047,72.04528,8.99051,0.004,208.7,203.936
75003,751110,Derwent,Ouse Bridge,319900,532100,NY198783,363,75,EA-CL,01/01/1968,,67.7,VA,140,,12.3,NO,YES,YES,SP,YES,YES,NO,1968,2014,99.96,17.182,0.302,307,2.043,6.283,11.05,40.28,0.51,2077,2159,0.63,,0.439,0.789,0,0.989614,99.010386,0,6.677297,29.468416,67.7,87.3,306.3,607.9,943.9,12.07129,1.935209,70.85347,10.37368,0.003,247.5,97.957
75004,751613,Cocker,Southwaite Bridge,313100,528100,NY130928,116.6,75,EA-CL,01/01/1967,,59.5,VA,130,,20.1,NO,YES,YES,SP,YES,YES,NO,1967,2014,100,5.44,0.202,166,0.661,1.753,3.195,12.9,0.43,1975,2158,0.63,,0.483,0.83,0,0.047682,99.952318,0,5.085978,25.793157,59.5,96.3,272.3,544.7,853,8.18878,1.723838,70.61715,15.21973,0,289.7,51.272
75005,751007,Derwent,Portinscale,325200,523900,NY251942,235,75,EA-CL,01/01/1972,,72.6,VA,100,,5.9,NO,YES,YES,S,YES,YES,NO,1972,2014,99.9,12.242,0,197,1.334,4.086,7.357,29.12,0.44,2247,2372,0.64,,0.408,0.846,0,1.514153,98.485847,0,8.387739,27.906419,72.6,143.1,343.4,626.8,943.9,10.82485,1.527892,71.87099,11.13043,0.003,245.8,105.843
75006,,Newlands Beck,Braithwaite,324100,523900,NY240523,33.9,75,EA-CL,01/01/1968,13/05/1997,74.6,VA,44,,37.4,NO,YES,NO,N,NO,NO,NO,1968,1997,52.32,1.628,0,36.71,0.038,0.426,0.814,3.805,0.31,2390,2401,0.64,4.4,0.46,0.999,0,0,100,0,0.448913,4.077415,74.6,151.4,338.7,595.2,838,5.079127,1.442772,81.66359,10.967982,0.002,381,
75007,750504,Glenderamackin,Threlkeld,332300,524800,NY322602,64.5,75,EA-CL,01/01/1969,,136.3,FVVA,75,,27,NO,YES,YES,N,NO,YES,NO,1969,2014,66.84,2.862,0.039,59.4,0.225,0.797,1.388,6.87,0.34,1733,1833,0.62,2.9,0.394,0.999,0,5.563227,94.436773,0,6.21535,58.177817,136.3,195,318.9,569.7,862.5,10.87883,2.415797,81.266,5.11808,0,180,61.429
